Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-562.603,224.878,712.801,940.691,814.892,334.578,165.129
,-56.954,224.683,710.119,94.466,818.635,285.568,7.216
,-565.576,224.722,714.209,94.002,814.555,645.764,176.298
,-567.558,224.552,711.219,935.664,811.043,132.261,109.208
,-566.567,224.406,709.271,934.594,810.341,8.1366,1.0616
,-570.531,224.101,7.1262,938.507,8.1421,5.5757,159.158
,-573.504,223.874,710.813,934.279,810.894,407.287,777.527
,-566.567,223.795,715.898,929.956,807.264,439.205,0
,-573.504,223.519,714.411,930.085,807.802,494.586,731.222
,-572.513,223.423,704.091,934.371,811.674,309.773,267.165
,-572.513,223.397,707.721,935.948,813.084,nan,423.056
,-573.504,223.169,707.869,928.365,806.849,461.347,392.196
,-576.477,nan,711.169,936.401,814.125,412.479,315.682
,-575.486,222.949,707.005,932.784,811.031,471.803,289.242
,-574.495,223.022,704.277,932.139,8.1052,590.617,318.208
,-572.513,222.784,705.725,934.893,812.751,454.585,387.496
,-574.495,222.793,7.0611,936.757,nan,682.912,308.526
,-573.504,222.829,707.635,937.186,815.047,592.536,311.564
,-572.513,222.722,706.944,935.081,813.383,577.145,295.242
,-567.558,222.711,706.261,937.061,815.122,490.066,264.412
,-57.945,22.266,7.0777,934.195,812.709,494.771,321.959
,-57.945,222.537,nan,932.438,8.1137,413.872,390.483
,-567.558,222.545,708.451,932.258,811.202,553.508,407.233
,-577.468,222.621,707.562,936.122,814.446,485.237,352.582
,-573.504,222.559,711.707,931.053,810.132,391.837,386.269
,-576.477,222.502,709.051,936.773,815.199,458.749,474.745
,nan,22.255,nan,931.598,810.621,559.908,313.126
,-57.945,222.445,706.949,933.472,812.415,629.369,351.096
,-57.945,222.463,706.983,935.779,814.394,470.164,3.866
,-571.522,222.472,7.0611,931.178,810.375,496.809,3.908
,nan,22.238,708.351,931.662,810.941,6.0938,362.524
,-570.531,222.404,705.747,93.387,812.824,652.886,401.877
,-573.504,22.233,706.398,935.185,814.085,566.933,374.258
,-578.459,222.245,708.389,929.908,809.623,476.022,342.292
,-577.468,222.132,708.016,926.391,806.736,642.001,352.107
,-568.549,222.181,704.347,928.614,808.595,434.098,301.488
,-574.495,222.101,702.084,932.383,812.003,453.703,371.196
,-571.522,22.207,705.565,933.155,812.723,3.5274,348.624
,-572.513,221.955,701.714,938.587,817.634,462.925,438.069
,-572.513,222.045,700.124,937.923,816.915,546.595,42.618
,-574.495,221.946,701.413,935.392,814.865,563.892,nan
